Comment,Designator,Footprint,LCSC
"SW_Push","BOOT1,RST1","Button_Switch_SMD:SW_SPST_PTS645","C271750"
"10 uF","C1,C6","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C14860"
"0.1uF","C2,C4,C7","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C24497"
"1 uF","C3","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C1848"
"22 uF","C5","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C90146"
"5k","CAL_POT1","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","C118907"
"1N4007","D1,D2,D3","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C108803"
"1.5A","F1","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C883133"
"5A","F2,F3","Fuse:Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open","C58066"
"Conn_01x06_Female","FTDI_HEADER1,SPI_HEADER1","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","C40877"
"Conn_01x10_Female","GPIO_HEADER1","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","C35445"
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_Pad_Via","N/A"
"Conn_01x04_Female","I2C_HEADER1","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","C2718488"
"AudioJack2","J1","Connector_Audio:Jack_3.5mm_PJ320D_Horizontal","C521460"
"Conn_01x02_Female","J6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","N/A"
"LED","PWR_LED1,LED_BUILTIN1,RLY1_LED1,RLY2_LED1","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C72037"
"FDN340P","Q1","Package_TO_SOT_SMD:SOT-23","C2890122"
"2N7002K","Q2,Q3","Package_TO_SOT_SMD:SOT-23","C38161"
"100k","R12,R13","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C118849"
"4.7k","R4,R14,R15","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C17936"
"10k","R1,R2,R3,R5,R16","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C140407"
"175","R6,R17","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C322897"
"1K","R7,R10,R11","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C1469"
"130","R8,R9","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C17914"
"G2RL-2-ASI-DC12","RL1,RL2","Relay_THT:Relay_DPDT_Omron_G2RL","C61458"
"ESP32-WROOM-32U","U1","RF_Module:ESP32-WROOM-32U","C328062"
"PC817","U2,U5","Package_DIP:DIP-4_W7.62mm","C390734"
"AMS1117-3.3","U3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C347222"
"DS18B20","U4","Package_TO_SOT_THT:TO-92_Inline","C376006"
"Screw_Terminal_01x02","X1,X2","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","N/A"
"5V","ZD1","Diode_SMD:D_SOD-323_HandSoldering","C22612"
